# Wave	Vel	NormFlux	NormErr	Flux	Error	Continuum
1319.2535	48847.41	0.7949	0.1059	4.1315e-15	5.5021e-16	5.1973e-15
1319.2834	48855.32	0.8540	0.1098	4.4369e-15	5.7041e-16	5.1957e-15
1319.3134	48863.22	1.0449	0.1212	5.4276e-15	6.2934e-16	5.1942e-15
1319.3433	48871.12	0.8736	0.1111	4.5362e-15	5.7713e-16	5.1926e-15
1319.3732	48879.03	0.9647	0.1166	5.0079e-15	6.0516e-16	5.1910e-15
1319.4031	48886.93	0.9236	0.1146	4.7930e-15	5.9470e-16	5.1895e-15
1319.4330	48894.84	1.0550	0.1234	5.4731e-15	6.4015e-16	5.1879e-15
1319.4629	48902.74	1.0449	0.1220	5.4193e-15	6.3290e-16	5.1863e-15
1319.4928	48910.65	0.9203	0.1140	4.7715e-15	5.9088e-16	5.1847e-15
1319.5227	48918.55	0.9316	0.1171	4.8285e-15	6.0694e-16	5.1832e-15
1319.5526	48926.45	1.0811	0.1234	5.6017e-15	6.3934e-16	5.1816e-15
1319.5826	48934.36	1.0396	0.1223	5.3854e-15	6.3336e-16	5.1800e-15
1319.6125	48942.26	1.3090	0.1357	6.7786e-15	7.0287e-16	5.1784e-15
1319.6424	48950.17	1.0056	0.1210	5.2056e-15	6.2620e-16	5.1768e-15
1319.6723	48958.07	1.0742	0.1232	5.5593e-15	6.3767e-16	5.1752e-15
1319.7022	48965.98	1.0432	0.1214	5.3970e-15	6.2818e-16	5.1736e-15
1319.7321	48973.88	0.9386	0.1155	4.8544e-15	5.9739e-16	5.1720e-15
1319.7620	48981.78	1.0896	0.1253	5.6337e-15	6.4791e-16	5.1704e-15
1319.7919	48989.69	0.9452	0.1172	4.8855e-15	6.0565e-16	5.1687e-15
1319.8218	48997.59	0.9108	0.1140	4.7064e-15	5.8928e-16	5.1671e-15
1319.8517	49005.50	1.1317	0.1265	5.8460e-15	6.5365e-16	5.1655e-15
1319.8817	49013.40	1.1712	0.1287	6.0478e-15	6.6462e-16	5.1639e-15
1319.9116	49021.31	0.7084	0.1018	3.6568e-15	5.2559e-16	5.1622e-15
1319.9415	49029.21	0.7072	0.1011	3.6497e-15	5.2161e-16	5.1606e-15
1319.9714	49037.11	1.0810	0.1238	5.5769e-15	6.3854e-16	5.1590e-15
1320.0013	49045.02	0.8678	0.1116	4.4754e-15	5.7536e-16	5.1573e-15
1320.0312	49052.92	0.8705	0.1113	4.4879e-15	5.7398e-16	5.1557e-15
1320.0611	49060.83	0.9779	0.1187	5.0404e-15	6.1191e-16	5.1540e-15
1320.0910	49068.73	0.8104	0.1101	4.1756e-15	5.6731e-16	5.1524e-15
